fold,test_start,test_end,model,rmse,mae,mape,r2,bias,directional_accuracy
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Prophet,1294.1715787505434,871.3972070972119,3.8129328284812614,0.39003041010686423,-777.2358291220677,63.63636363636363
8,2023-08-01 00:00:00,2024-07-01 00:00:00,XGBoost,2482.9913418219003,1848.639247845952,8.150943855507768,-1.2453025932807238,-1848.639247845952,72.72727272727273
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Hybrid_ARIMA_XGBoost,2251.2261799063103,1774.6284501941675,7.901093564744388,-0.8457068704014215,-1774.6284501941675,54.54545454545454
8,2023-08-01 00:00:00,2024-07-01 00:00:00,LSTM_univariate,1956.0717644233146,1314.9227408907307,5.706204437105416,-0.3934584898669291,-1269.0919506407802,81.81818181818183
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Baseline_LastValue,2651.47646102577,2069.899875485317,9.19598741270546,-1.5603540209413107,-2069.899875485317,0.0
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Baseline_TrainMean,11489.76501534576,11369.646352416761,53.162760971457566,-47.07804073545218,-11369.646352416761,0.0
8,2023-08-01 00:00:00,2024-07-01 00:00:00,Baseline_Drift,2237.552438760492,1686.7558283952014,7.452480428436662,-0.823353654709041,-1686.7558283952014,81.81818181818183
9,2024-08-01 00:00:00,2025-07-01 00:00:00,ARIMA,4438.565257637778,3924.211089567662,13.583661611340988,-3.5660135263929815,-3924.211089567662,63.63636363636363
9,2024-08-01 00:00:00,2025-07-01 00:00:00,SARIMA,4438.565257637778,3924.211089567662,13.583661611340988,-3.5660135263929815,-3924.211089567662,63.63636363636363
9,2024-08-01 00:00:00,2025-07-01 00:00:00,SARIMAX,4437.87902713968,3866.348689653702,13.346076765520149,-3.5646017659083755,-3866.348689653702,54.54545454545454
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Prophet,5045.951581932511,4884.025625376102,17.33022011822208,-4.901170092961055,-4884.025625376102,45.45454545454545
9,2024-08-01 00:00:00,2025-07-01 00:00:00,XGBoost,5491.129270117907,4939.816120661873,17.158146245953365,-5.988360663808504,-4939.816120661873,36.36363636363637
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Hybrid_ARIMA_XGBoost,3979.6958618775097,3519.0047641870574,12.181598317811847,-2.6707240885656414,-3515.821967249935,63.63636363636363
9,2024-08-01 00:00:00,2025-07-01 00:00:00,LSTM_univariate,5642.428221570337,5357.203164583687,18.838298895695996,-6.378771487208626,-5357.203164583687,81.81818181818183
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Baseline_LastValue,4625.881128933189,4133.291889841707,14.335810268568281,-3.959534456634346,-4133.291889841707,0.0
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Baseline_TrainMean,17624.56614156517,17501.732980079894,62.556492002614746,-70.99276350173741,-17501.732980079894,0.0
9,2024-08-01 00:00:00,2025-07-01 00:00:00,Baseline_Drift,4096.417581700339,3663.290471177172,12.707534051028349,-2.889201259554734,-3663.290471177172,81.81818181818183
